LABEL,TEXT,URL,EMAIL,PHONE
ham,مم لقد تناولت طعامي من الخارج,No,No,No
ham,4 سندويشات التاكو + 1 راجاس بوريتو ، صحيح؟,No,No,No
ham,خادمة المنزل هي القاتلة ، حيث قُتل الرجل في 26 يناير ..,No,No,No
ham,نعم! كيف تكون سيدة جميلة مثلك عازبة؟,No,No,No
ham,(ومع ذلك ، هل يمكنك إرسال رسالة نصية إليه مرة أخرى؟),No,No,No
ham,أنا أعلم أنها اتصلت بي,No,No,No
ham,في sch ولكن neva mind u eat 1st lor ..,No,No,No
spam,تدعوك lyricalladie (21 / أنثى) لتكون صديقتها. قم بالرد YES-910 أو NO-910. أراها: www.SMS.ac/u/hmmross STOP؟ أرسل STOP FRND إلى 62468,No,No,yes
ham,يقول جاي أنك لوطي مزدوج,No,No,No
ham,حسنًا ، أعتقد أنني حصلت عليه. ثم ش تريد لي 2 تعال الآن أو وات؟,No,No,No
smishing,منحت UR فرصة City Break ويمكنها الفوز بجولة تسوق صيفية بقيمة 200 جنيه إسترليني كل أسبوع. متجر TXT إلى 88039. SkilGme. TsCs087147403233,No,No,yes
spam,مرحبا من Orange. للحصول على دخول مجاني لمدة شهر إلى الألعاب والأخبار والرياضة ، بالإضافة إلى 10 نصوص مجانية و 20 رسالة مصورة ، أجب بنعم. تطبق الشروط: www.orange.co.uk/ow,yes,No,No
ham,أوه ... Lk tt den we take e one tt end at cine lor ... Dun wan yogasana oso can ...,No,No,No
ham,متى برنامجك الإذاعي؟,No,No,No
ham,أطفال جين لا يذهبون إلى الوراء 2 ، يشعرون بالمرض بعد ليلتهم الأولى. Foned في بالفعل تغطية 4 لي تشاك. :-),No,No,No
spam,عرض جديد! وفر حتى 40 \٪ فاتورة الكهرباء مع Power Saver (GOVT. LAB TESTED) ، Rs. 1050 / - (توصيل مجاني للمنازل) 3 سنوات. الضمان اتصل بالرقم 9891943823،9891943780,No,No,yes
ham,ماذا ترتدي؟,No,No,No
ham,اتضح أنه كان لدي حب ستريو على هاتف mi تحت الألبوم المجهول.,No,No,No
ham,Ela kano.، il download، come wen ur free ..,No,No,No
ham,شخصيات هههه ، حسنًا ، لقد وجدت القطعة ووعاء بريسيلا,No,No,No
ham,هل يمكنك إجراء معاملة عبر الإنترنت؟,No,No,No
ham,Ü نيفا أخبرني كيف أكون ... لست في المنزل في دا خلف وات ...,No,No,No
smishing,لقد فزت! بصفتك أحد عملاء Vodafone الكرام ، فقد اختارك جهاز الكمبيوتر الخاص بنا للفوز بجائزة قدرها 150 جنيهًا إسترلينيًا. الجمع سهل. فقط اتصل على 09061743386,No,No,yes
spam,ستتلقى نغمتك خلال الـ 24 ساعة القادمة. للشروط والأحكام ، يرجى الاطلاع على Channel U Teletext Pg 750,No,No,No
ham,ماذا تفعل كيف حالك,No,No,No
ham,لم أحصل على النصف الثاني من تلك الرسالة,No,No,No
smishing,جائزة Phony 350 جنيهًا إسترلينيًا - يتم تحديد أرقام Voda اليوم التي تنتهي بـ XXXX لتلقي جائزة 350 جنيهًا إسترلينيًا. إذا كان لديك تطابق ، يرجى الاتصال على 08712300220 نقلا عن تطبيق الأسعار القياسية لرمز المطالبة 3100,No,No,yes
ham,يمكن أن تساعدك على الانقضاض عن طريق اصطحابك من أي مكان تلتقي فيه الطيور الأخرى إذا أردت.,No,No,No
ham,حسنًا ، ما الأمر؟,No,No,No
ham,مرحبا سيدتي كيف حالك ؟,No,No,No
ham,كان في الواقع نائمًا ولا يزال عند اتصالك مرة أخرى. إذن النص هو gr8. أنت صخرة الأخت. سوف أرسل لك رسالة عندما أستيقظ.,No,No,No
ham,جيد. هل تعتقد أنك يمكن أن ترسل لي بعض بيكسل؟ أود أن أرى رأسك وأسفلك ...,No,No,No
smishing,Apple ID: [BUXCX7GBVwWCOD الإخطار النهائي من المقرر أن تنتهي صلاحية Apple 1D اليوم. يمكنك منع ذلك عن طريق تأكيد معرف Apple الخاص بك على http://verifyapple.uk Apple Inc,yes,No,No
ham,مرحبا يا صديقي! كيف أنت بالعسل؟ هل قضيت عطلة سعيدة؟ GIMMI DE GOSS! x,No,No,No
ham,ليس لدي رقم أي شخص ، ما زلت لم أفكر في طريقة لبقة لطرح أليكس,No,No,No
ham,أنا آخذ ديريك وأمبير. تايلور إلى وول مارت ، إذا لم أعود بحلول الوقت الذي تنتهي فيه ، اترك الماوس على مكتبي وسأرسل لك رسالة نصية عندما يكون بريسيلا جاهزًا,No,No,No
ham,حسنًا .. دعني أعرف,No,No,No
ham,أنت فتاة سيئة للغاية. أو سيدة.,No,No,No
smishing,يتم تحديد أرقام Voda اليوم التي تنتهي بـ 7548 لتلقي جائزة 350 دولارًا. إذا كان لديك تطابق ، يرجى الاتصال على 08712300220 نقلا عن رمز المطالبة 4041 تطبيق الأسعار القياسية,No,No,yes
ham,K then 2marrow هل أنت قادم إلى الفصل.,No,No,No
ham,لن يضرب كاليس في الجولات الثانية.,No,No,No
ham,لقاءك هو عملي. . . اتصلي بي متى اقوم بعملي غدا .. هذا هو المهم ..,No,No,No
spam,تغلب على تحديات البرمجة متعددة النواة وتعلم تقنيات لتوسيع نطاق الموثوقية. احضر جلسة Intel الساعة 3.45 مساءً في Microsoft Community TechDays,No,No,No
ham,هاها ، ساقي ورقبتي تقتلاني ويأمل أصدقائي في إنهاء الليل بحروق ، هل تعتقد أنه يمكنني التأرجح في غضون ساعة؟,No,No,No
ham,كل يوم أستخدمه للنوم بعد & lt؛ # & GT؛ لذلك فقط.,No,No,No
ham,عذرا لديك عمل عاجل ..,No,No,No
ham,صباح الخير من فضلك اتصل بي سيدي .. لدي عمل عاجل ..,No,No,No
ham,أوه أغلقها. OMG بالأمس كان لدي حلم بأن لدي طفلين كلاهما صبيان. كنت غاضبًا جدًا. ليس فقط عن الأطفال ولكن كونهم أولاد. حتى أنني أخبرت علامة في حلمي أنه كان يغير الحفاضات لأنني لا أدين بالوجه.,No,No,No
ham,Ahhhh ... استيقظت للتو! كان لدي حلم سيئ عنك ، لذلك أنا لا أحبك الآن :) لم أكن أعرف أي شيء عن ليلة الكوميديا ​​ولكني أعتقد أنني مستعد لذلك.,No,No,No
ham,من الصعب تصديق أشياء مثل هذه. يمكن للجميع قول الكذب ولكن التفكير مرتين قبل قول أي شيء لي.,No,No,No
ham,لم يكن واو يعتقد أنه كان شائعًا. أنا آخذ كل شيء إلى الوراء ، أنت لست غريبًا! ما لم تقطعها :-),No,No,No
spam,5 نغمات مجسمة عليا مجانية اتصل على 087018728737 ، السعر الوطني. احصل على نغمة رائعة تُرسل كل أسبوع ، فقط أرسل SUBPOLY إلى 81618 ، 3 جنيهات إسترلينية لكل عمود. UnSub 08718727870.,No,No,yes
ham,نعم هو رسالة لي: هل تات ييجوي؟ ثم أنا هو زميل مجموعتي لأننا نلتقي اليوم ...,No,No,No
ham,تحتاج إلى النهوض. حاليا.,No,No,No
smishing,لديك إعلان مهم لخدمة العملاء. اتصل FREEPHONE 0800542 0825 الآن!,No,No,yes
ham,كيفز الألم؟ أتمنى أن تكون بخير ..,No,No,No
ham,أحبها! قد تتساءل الفتيات في المكتب لماذا تبتسم ولكنك مؤلم ...,No,No,No
smishing,<تم التحويل من 448712404000> برجاء الاتصال على 08712404000 على الفور حيث توجد رسالة عاجلة في انتظارك.,No,No,yes
ham,لا يزال لا يعمل. وهذه المرة حاولت أيضًا إضافة الأصفار. كان هذا هو المدخرات. الفحص هو & lt ؛ # & GT ؛,No,No,No
ham,كيف الاحوال؟ مجرد سؤال سريع.,No,No,No
ham,مت ... لقد حذفت بطريق الخطأ رسالة أفترض أن 2 وضعت في أرشيف سيم. هيز ... حزين جدا ...,No,No,No
ham,لا ، أنا * لم * أقصد نشره. لقد كتبته ، ومثل العديد من المرات الأخرى ، قمت بكتابة أشياء لك ، تركتها تجلس هناك. كان ما كنت أشعر به في ذلك الوقت. لقد كنت غاضبا. قبل أن أغادر ، أضغط على إرسال ، ثم توقف. لم يكن هناك. لقد راجعت هاتفي عندما وصلت إلى سيارتي. لم يكن هناك. قلت إنك لم تنم ، لقد شعرت بالملل. فلماذا لا يكون هذا هو الوقت المناسب لتنظيف الملابس وطيها وما إلى ذلك؟ على الأقل رتب السرير؟,No,No,No
ham,آسف فاتني مكالمتك. هل يمكنك الاتصال مرة أخرى.,No,No,No
ham,كيف حالكم. لقد كانت العصور. كيف هو أبج,No,No,No
ham,كما لو لم يكن لدي مشكلة كافية في النوم.,No,No,No
ham,مرحبًا. إنهم ذاهبون إلى حانة القرية في الساعة 8 لذا إما أن يأتوا إلى هنا أو هناك وفقًا لذلك. حسنا؟,No,No,No
ham,شكرا يا صاح. أنت يا رفاق خارج 2nite؟,No,No,No
spam,Noida Commercial Wave Sec-18 Silver @ 11500 / - PSF Gold @ 12500 / - PSF ، Logix Sec-124 @ 8200 / - PSF للحصول على أفضل صفقة ، اتصل على 9711131802/3,No,No,yes
ham,هل تطلبون مني يا رفاق أن أحصل على هذا النعال مرة أخرى أو اختفى العام الماضي,No,No,No
ham,لا تدعوني يا رفاق أبدًا في أي مكان :(,No,No,No
spam,HMV BONUS SPECIAL 500 جنيه من قسائم HMV الأصلية للفوز بها. فقط أجب على 4 أسئلة سهلة. أرسل HMV إلى 86688 مزيد من المعلومات: www.100percent-real.com,yes,No,yes
ham,لقد قام جهاز الكمبيوتر الخاص بي بقلي الجزء الأساسي الوحيد الذي لا نحتفظ بقطع غيار منه لأن زملائي الأغبياء في الغرفة يحبون ترك الشيء يعمل بالكامل & lt؛ # & gt؛ / 7,No,No,No
ham,يا الكعك مثير! هل أخبرتك ؟ أنا أعشقك يا حبيبتي. آمل أن تتذكر أن تشكر أخت زوجتك على كرات اللحم هذه * الابتسامات * ... أحبك يا حبيبي,No,No,No
spam,"مرحبًا بك في UK-mobile-date هذه الرسالة مجانية تمنحك اتصالاً مجانيًا بالرقم 08719839835. فواتير مستقبلية تبلغ 150 بنس يوميًا. للإلغاء أرسل ""go stop"" إلى 89123",No,No,yes
ham,حسنًا ، نعم من فضلك!,No,No,No
ham,بحلول نهاية مارس ، يجب أن أكون جاهزًا. ولكن سوف يتصل بك بالتأكيد. المشكلة هي أن عاصمتي لم تكتمل أبدًا. إلى أي مدى معك. كيف هو العمل والسيدات,No,No,No
smishing,لقد ربحت جائزة مضمونة بقيمة 200 جنيه إسترليني أو حتى 1000 جنيه إسترليني نقدًا للمطالبة بمكافأة UR مجانًا على 08000407166 (18+) 2 توقف على 88333 PHP,No,No,yes
ham,Jokin فقط لار ... :-) يعتمد على الهاتف الذي يمكن أن يحصل عليه والدي ...,No,No,No
ham,اعتقدت أن الشريحة كافية.,No,No,No
ham,IM GONNAMISSU SO MUCH !! أود أن أقول أنني أرسل لك بطاقة بريدية حول فرصة كبيرة من MEREMEMBERIN ASTHERE لا يكسر عقده !! LUV Yaxx,No,No,No
ham,يا صاح يجب أن نذهب سوب مرة أخرى,No,No,No
smishing,يتم الاتصال بك من خلال خدمة المواعدة لدينا من قبل شخص تعرفه! لمعرفة من هو ، اتصل من خط أرضي 09050000928. PoBox45W2TG150P,No,No,yes
ham,التسوق لور. منهم تمطر ماه الصعب 2 اترك البستان.,No,No,No
ham,ما الأمر أوجا بلدي. تركت هاتفي في المنزل ورأيت للتو رسائلك. أتمنى أن تكون بخير. اتمنى لك نهايه اسبوع جميله.,No,No,No
ham,هل تحتاج إلى قهوة تومو؟ لا أصدق أنه هذا الوقت من الأسبوع بالفعل,No,No,No
ham,أوووو سرير ممتلئ العينين؟ بماذا تفكر؟,No,No,No
ham,حسنًا ، لا مشكلة في الحصول على سيارة أجرة. جى جى غدا والثلاثاء. يوم الثلاثاء نعتقد أننا جميعًا ذاهبون إلى السينما.,No,No,No
ham,حسنًا ... C ya ...,No,No,No
ham,هل أنت صاخب إلى هذا الحد - لا أعتقد ذلك,No,No,No
spam,تم طرح 3MOBILE IF 0870 من الدردشات في دقائق مجانية. CUST الهند يخدم SED نعم. حصلت L8ER على فاتورة ميجا. 3 لا تعطي القرف. الكفالة مستحقة الدفع خلال أيام. 250 جنيه إسترليني 3 أريد 800 جنيه إسترليني,No,No,No
ham,يرجى إعطائها 2 أو سأستلمها مساء الثلاثاء حوالي الساعة 8 إذا كان هذا على ما يرام.,No,No,No
ham,كنت مستيقظًا طوال الليل قلقًا جدًا بشأن هذا التطبيق. إنه لأمر مخز أننا فوتنا ليلة فتيات مع الفشار ومسابقات وأنت تقوم بشعري.,No,No,No
ham,هاهاها نكتة جيدة. الفتيات طالبات الحالة.,No,No,No
ham,سيدي ، أنا في انتظار مكالمتك.,No,No,No
ham,ياي! من الأفضل ألا تقل ذلك لـ 5 فتيات أخريات أيضًا.,No,No,No
ham,لكنني سأذهب 2 sch يوم الاثنين. أختي بحاجة 2 خذ,No,No,No
ham,أنت لا توجد فئة tmrw أليس كذلك؟,No,No,No
ham,"تفكيري الشخصي المؤلم - ""أحاول دائمًا إبقاء الجميع سعداء طوال الوقت. لكن لا أحد يعرفني عندما أكون بمفردي""",No,No,No
spam,RCT 'THNQ Adrian للنص U. رجدس فاتيان,No,No,No
ham,لست متأكدًا من أنني أمتلك المعدة لذلك ...,No,No,No
smishing,هذه هي المرة الثانية التي حاولنا فيها الاتصال بشخصين. لقد فازت U بجائزة 750 جنيهًا إسترلينيًا. 2 المطالبة سهلة ، اتصل على 08712101359 الآن! فقط 10 بنسات في الدقيقة. BT- المعدل الوطني,No,No,yes
spam,استمتع بـ jamster videosound gold club مع رصيدك لمقطعي فيديو جديدين + 2 شعار + musicnews! احصل على المزيد من المرح من jamster.co.uk! 16 + مساعدة فقط؟ اتصل: 09701213186,No,No,yes
ham,سأخبرك عندما تبدأ,No,No,No
ham,نعم ، لا حاجة. سأنتظر الآمرة 4 e المطر 2 توقف.,No,No,No
spam,هل فكرت يومًا في العيش حياة جيدة مع الشريك المثالي؟ فقط أرسل رسالة نصية إلى NAME و AGE للانضمام إلى مجتمع الجوال. (100 بكسل / رسالة نصية),No,No,No
smishing,عزيزي عميل PAYTM الخاص بك انتهت صلاحية Paytm KYC. اتصل بخدمة العملاء رقم 6200992462 على الفور. سيتم حظر حسابك في غضون 24 ساعة. شكرًا لك PAYTM TEAM.,No,No,yes
spam,"0A $ NETWORKS تسمح للشركات بفواتير الرسائل النصية القصيرة ، لذا فهي مسؤولة عن ""مورديها"" ، تمامًا كما يجب على المتجر تقديم ضمان على ما يبيعونه. ج.",No,No,No
ham,لم يتم التخطيط بعد:) سوف تنضم إلى الشركة في 5 يناير فقط. لا تعرف ما الذي سيحدث بعد ذلك.,No,No,No
ham,الأسلحة بخير ، كيف حال كارديف وأوني؟,No,No,No
spam,oor Step Service للمساعدة في جواز السفر / بطاقة PAN / إقرار ضريبة الدخل / إرجاع ضريبة القيمة المضافة / الإقرار الضريبي للخدمة جهة الاتصال M / s ONS 9650669988 Jwala Heri Mkt Paschim Viha,No,No,yes
ham,أنا آسف حقًا لأنني لن أتمكن من القيام بذلك يوم الجمعة. آمل أن تتمكن من العثور على بديل. آمل أن تسير المدة على ما يرام :-),No,No,No
ham,حسنًا ، سأعود إلى منزلك بعد نصف ساعة,No,No,No
ham,إنه جهاز كمبيوتر محمول يمكنك اصطحابه معك.,No,No,No
ham,أعتقد أنه مضيعة لـ rr ..,No,No,No
ham,على أي حال ، صدمني بشدة عندما تعود لأنه بخلاف ذلك يجب أن أضيء بذراعه وهو دائمًا يعاني من القرف و / أو يتقيأ,No,No,No
spam,PL: Battle Royale! جيلكريست مقابل وارن اليوم الساعة 8 مساءً. انقر فوق http://ipl.onmix.mobi/؟src=504 لـ IPL على الهاتف المحمول. لإيقاف تنبيهات MIX ، انقر فوق http://onmix.mobi/alert,yes,No,No
ham,يحتاج دان لاستخدام الاتصال الهاتفي juz open da browser n surf ...,No,No,No
ham,اتصل به واخبر الان امامهم. اتصل به الآن.,No,No,No
ham,نظرية جديدة: الحجة تفوز بالحالة ، لكنها تفقد الشخص. لذلك لا تجادل مع أصدقائك فقط ... . . ركلهم وأمبير. أقول ، أنا دائما على صواب.!,No,No,No
ham,أنا noe la ... U wana pei bf oso rite ... K lor ، other days den ...,No,No,No
ham,مرحبًا ، لقد أعطيتهم صورتك عند التسجيل لقيادة آه؟ هل تريد أن تلتقي في YCK؟,No,No,No
ham,وعندما تنتهي أعني الآن,No,No,No
ham,لا أريد أن أسمع أي شيء,No,No,No
ham,نوعا من. أخذتها إلى المرآب. يحتاج الجزء المركزي من العادم إلى الاستبدال. أمر جزء ن أخذه ليكون ثابتا في الصباح.,No,No,No
spam,FreeMsg مرحبًا U ، لقد حصلت للتو على 1 من هذه الفيديوهات / صور الموافقة المسبقة عن علم ، قم بالرد على هذا النص وأرسل صوري ، اسرع أنا أشعر بالملل في العمل xxx (18150p / rcvd STOP2stop),No,No,No
ham,[...] على أي حال ، أمسيات كثيرة جيدة لك! س,No,No,No
ham,EY! تهدأ من التداعيات .. ITXT U COS IWANA تعرف WOTU R في اليوم / النهاية ... HAVENTCN U في الأعمار .. اربطني إذا UR UP4 NETHING SAT.LOVE J XXX.,No,No,No
ham,Ü تاكين الجبر الخطي اليوم؟,No,No,No
ham,يقترب جان بسرعة. لذا ، أتمنى لك عامًا جديدًا سعيدًا جدًا سعيد سانكرانتي يوم جمهوري سعيد عيد حب سعيد سعيد Shivratri سعيد عيد كذبة سعيد يوم سعيد عيد استقلال سعيد ، صداقة سعيدة ، أم ، أب ، مدرسون ، عيد أطفال ، & amp؛ عيد ميلاد سعيد 4 مهرجان يو. سعيد غانيش Happy Dasara Happy Diwali عيد ميلاد سعيد & lt؛ # & gt؛ صباح الخير بعد الظهر ، ليالي المساء. تذكر ، أنا أول من أتمنى لك كل هذه ... راج الخاص بك,No,No,No
ham,حقًا ... لقد انتهت ورقتك منذ فترة طويلة ... لكن ما الذي تم نسخه الآن؟ U سعيد لار ... ما زلت أملك دراسة 2 :-(,No,No,No
ham,جوس النهاية الاستحمام ...,No,No,No
ham,أعتقد أن معلمك مؤكد ، لكن ليس متأكدًا بنسبة 100٪.,No,No,No
ham,هل الهامستر الخاص بك ميت؟ مرحبًا ، أنا ألتقي بك في الساعة 1 ظهرًا بتوقيت أورشارد؟,No,No,No
ham,حسنًا ، دعنا ندع التفاصيل لاحقًا ...,No,No,No
ham,أتمنى أن يقابلك هذا النص مبتسما. إذا لم يكن الأمر كذلك ، فدع هذا النص يمنحك سببًا للابتسام. أتمنى لك يوما سعيدا.,No,No,No
ham,حسنًا .. ليتسنى لك معرفة ذلك,No,No,No
ham,أنت مشغول أو يمكنني القدوم في وقت ما ومعرفة ما سنفعله غدًا,No,No,No
ham,هذا بارد. أريد إرضائك ...,No,No,No
ham,هل يمكنني الاتصال بك في وقت لاحق الرجاء,No,No,No
smishing,برجاء الاتصال بالرقم 08712402779 على الفور حيث توجد رسالة عاجلة في انتظارك,No,No,yes
spam,Text82228 >> ​​احصل على المزيد من النغمات والشعارات والألعاب من www.txt82228.com. الأسئلة: info@txt82228.co.uk,yes,yes,yes
ham,رقم هاتفي المحمول. الثابتة والمتنقلة sms معرف البريد الخاص بي.,No,No,No
ham,صباح الخير من فضلك اتصل بي سيدي,No,No,No
ham,لول حسنا كنت أفكر في ذلك أيضا هاها,No,No,No
spam,87077: ابدأ موسمًا جديدًا بأهداف وأخبار مجانية لمدة أسبوعين لهاتفك المحمول! أرسل اسم ناديك إلى 87077 مثل VILLA إلى 87077,No,No,yes
ham,طيب سنويا. لا شيء مشكلة:-),No,No,No
ham,حسنًا يا إلهي ، فلدي تغيير طلبي إلى النصف الثامن,No,No,No
ham,آسف لذلك هذا هو هاتف أصدقائي ولم أكتبه مع كيت,No,No,No
ham,بعد قليل ، أراك بعد قليل,No,No,No
spam,أنا لا أعرفك وأنت لا تعرفني. أرسل دردشة إلى 86688 الآن ولنجد بعضنا البعض! فقط 150p / Msg rcvd. HG / Suite342 / 2 الأراضي / الصف / W1J6HL LDN. 18 سنة أو أكثر.,No,No,yes
spam,قطع الأراضي المتاحة في أكبر نويدا بالقرب من باري تشوك ، ريجن طيب. @ 2600 / - يبدأ الحجز من 30000 / - أو التأخير الكامل. اتصل أيضًا على 9213241451.,No,No,yes
ham,جوسوك أب في سرير على متن قارب. SLEPT WID 25 سنة من العمر. فقد السيطرة! GIV U DA GOSSIP L8R. XXX,No,No,No
ham,في الواقع ، فقط افعل أي شيء ، ابحث عن عذر للتواجد في تامبا في مرحلة ما قبل يناير,No,No,No
smishing,عزيزي العميل ، بسبب ترقية نظام BVN ، تم إلغاء تنشيط بطاقة الصراف الآلي الخاصة بك ، لإعادة التنشيط ، يرجى الاتصال بخدمة العملاء على 08065635084 للحصول على المساعدة.,No,No,yes
ham,نعم ... مرحبًا في يوم من الأيام يوم الجمعة ، يمكننا أن نطلب من ميوا وجياين إجازة كاريوكي,No,No,No
ham,نعم! انا رجل امراة واحدة! من فضلك قل لي ما يعجبك وما يكره في السرير ...,No,No,No
ham,أنت في العمل الآن ؟,No,No,No
smishing,لديك بريد صوتي جديد. يرجى الاتصال على 0871918154.,No,No,yes
ham,في 4. دعنا نذهب إلى مطاحن الفاتورة,No,No,No
ham,مرحبًا ، وكند طيب لكن الرحلة رهيبة. WK ليس جيدًا لأن لديك سجل خلفي ضخم لوضع العلامات للقيام به,No,No,No
ham,K..u أيضًا لا ترسل رسالة أو ترد على رسالته ..,No,No,No
ham,إذا فازت الهند أو سلسلة المستوى تعني أن هذا سجل :),No,No,No
ham,"العيش بسيط جدًا .. الحب بسيط أيضًا .. الضحك بسيط جدًا .. الفوز بسيط جدًا .. لكن كونك ""بسيطًا"" صعب جدًا ... ؛-) :-)",No,No,No
ham,Wot u up 2 u غريب الأطوار؟,No,No,No
smishing,هل تريد هاتف فيديو جديد؟ 750 في أي وقت أي شبكة دقيقة؟ نصف خط تأجير نص مجاني لمدة 3 أشهر؟ قم بالرد أو الاتصال على 08000930705 للتوصيل المجاني,No,No,yes
ham,أحيانًا يتذكر القلب شخصًا كثيرًا ... ينسى شخصًا ما قريبًا ... Bcoz Heart لن يحب الجميع. ولكن سيتم تذكر الأشخاص المحبوبين في كل مرة ... BSLVYL,No,No,No
ham,هممم.ولكن يجب أن تعطيه في يوم واحد ..,No,No,No
smishing,لديك معجب سري. REVEAL الذي يعتقد أن U R مميز جدًا. اتصل على 09065174042. لإلغاء الاشتراك ، رد REVEAL STOP. 1.50 لكل msg recd. رعاية الزبون 07821230901,No,No,yes
ham,فقط افعل ما هو أسهل بالنسبة لك,No,No,No
ham,وكلما رأينا أنت وأنا لا يزال بإمكاننا التوصيل أيضًا.,No,No,No
smishing,يحق لـ U R التحديث إلى أحدث الهواتف المحمولة الملونة مع الكاميرا مجانًا! اتصل بشركة Mobile Update Co مجانًا على الرقم 08002986030,No,No,yes
smishing,هذا هو رمز الخصم الخاص بك RP176781. لإيقاف المزيد من الرسائل ، توقف الرد. www.regalportfolio.co.uk. خدمة العملاء 08717205546,yes,No,yes
ham,حضرت ولكن لا شيء هناك.,No,No,No
smishing,حاولنا الاتصال بك لإعادة ردك على عرضنا 750 دقيقة و 150 رسالة نصية ومكالمة هاتفية فيديو جديدة 08002988890 الآن أو الرد للتوصيل المجاني غدًا,No,No,yes
ham,مرحبًا ، يبدو أنني كنت مخطئًا ولا يزال أحد أرقام شباب kappa موجودًا على هاتفي ، إذا أردت ، يمكنني إرسال رسالة نصية إليه ومعرفة ما إذا كان موجودًا,No,No,No
ham,8 على أبعد تقدير ، لا يزال g موجودًا إذا كان بإمكانك استخلاص بعض الذخيرة وتريد تجربة AK الجديد,No,No,No
ham,صباح الخير فطيرة فطيرة! لول أتمنى ألا أستيقظ,No,No,No
smishing,تهانينا ، منحت إما قسائم هدايا CD بقيمة 500 جنيه إسترليني وإدخال مجاني 2 سحب أسبوعي بقيمة 100 جنيه إسترليني txt MUSIC إلى 87066 TnCs www.Ldew.com,yes,No,yes
ham,هل تعرف أين ذهبت نظارات مختبر بلدي,No,No,No
smishing,FREE2DAY Sexy St George's Day pic of Jordan! TXT PIC إلى 89080 لا تفوت ، PocketBabe.co.uk 0870241182716,No,No,yes
ham,أتمنى أن تكون بخير حبيبي؟ أخشى أنك ربما شعرت بالقليل من التكافؤ عندما علمت أن الوظيفة مزيفة؟ أنا هنا أنتظر عندما تعود يا حبيبتي,No,No,No
ham,هل كتاب الحياة سلسلة فوجيتسو جيد؟,No,No,No
ham,هل العم تيمي يساعد في تنظيف السيارات,No,No,No
ham,تحياتي! اعتبر نفسك معذورًا.,No,No,No
ham,Tunde ، كيف حالك. هذا فقط أتمنى لك يومًا سعيدًا. أبيولا.,No,No,No
ham,هههههه..استخدم عقلك عزيزتي..هذا سيعمل هنا,No,No,No
ham,مرحبًا DARLIN IVE لقد عدت للتو وحصلت على ليلة لطيفة حقًا وشكراً جزيلاً على LIFT شاهد U غدًا XXX,No,No,No
smishing,العاجلة! تم منح رقم هاتفك المحمول 2000 جنيه إسترليني جائزة المتصل الإضافية في 5/9/03 هذه هي محاولتنا الأخيرة للاتصال بـ U! الاتصال من الهاتف الأرضي 09064019788 BOX42WR29C، 150PPM,No,No,yes
ham,سأكون هناك على & lt؛ # & GT؛ موافق.,No,No,No
ham,ثم انها تشتري اليوم؟ لا داعي ل c meh ...,No,No,No
ham,فاتنة؟ لقد فقدتك ... هل ستحاول إعادة التشغيل؟,No,No,No
